mean_conf,mean_acc,n
0.03244349276989391,0.02923076923076923,650
0.09904626140122169,0.04570383912248629,547
0.16553847428611573,0.06092436974789916,476
0.23320427189884638,0.08493150684931507,365
0.2989814093824584,0.11714285714285715,350
0.3647997342951293,0.11387900355871886,281
0.43264275568224414,0.14782608695652175,230
0.4965029914837363,0.13142857142857142,175
0.5681774809741126,0.16071428571428573,112
0.6315684842358174,0.10204081632653061,98
0.6988048847299613,0.10526315789473684,76
0.766053723343808,0.2692307692307692,78
0.8314355393059963,0.25,44
0.8945407614156263,0.16666666666666666,24
0.9672850874615985,0.5,4
