channel_id,channel_title,n,pos,roc_auc,subs
UCu5tM-7M-JZVkagEZTuheww,TIG Record,27,2,0.14,964000
UCW5vJhNRQRAtjdkHxr1jiGQ,คณะเอวีรูม OFFICIAL,22,1,0.19047619047619047,921000
UCKb-E83NXKbLaMVCWPifTmA,XyCloneZ,30,1,0.24137931034482762,2540000
UCs2t9DlvAuyTBkvk2djGZKw,Genierock,56,3,0.2578616352201258,17200000
UC_mceLIVkQun_Xcu1KBmfdw,GMMTV RECORDS,11,1,0.30000000000000004,4420000
UCtfkuqL_D-TDWzuRA2gG8Rw,CKKID,43,2,0.3414634146341463,1610000
UCsGx1qSnAS2P1YCJPYnYVUg,OPZ TV,23,4,0.34210526315789475,2650000
UC79u_tfhqjGIi1tgWsJEG7Q,กาย หงิด,30,5,0.40800000000000003,6500000
UChvk1ez0-qeKEn12-CYxrzQ,TADA LABELS,42,11,0.4252199413489736,638000
UCXm0bpjlfB0AF-ZdPhT0K1A,โหนกระแส [Hone-Krasae] official,42,1,0.5121951219512195,10000000
UCcx2NLmW1wMvwYCf3Il5STg,vaha555,43,6,0.536036036036036,871000
UCBqalI5VVdkpOv9WE38RuvA,A JECT PRo,49,3,0.5507246376811594,1520000
UCHgNYE93e5zs-I0rwHmLKTw,MYRMIE,88,31,0.5642331635540465,167000
UCLqO-m_MqjgYB7oiTCV-ddw,Laem Sing - แหลมสิงค์,51,12,0.5662393162393162,412000
UC-C9b6diBuyNoWBcKeTwXag,Luda VyacheslaV,105,2,0.587378640776699,572000
UCy19QXxbCHh8qVVCbuGk-ig,Garena RoV Thailand,281,10,0.5970479704797047,3890000
UCgG5iOdi8YVN5-4wwSKD1VA,LAZEN XD,45,8,0.5979729729729729,739000
UCzNGoO2h4tupE_ozldv4EtA,Pohnyz,36,1,0.6,317000
UC-chqi3Gpb4F7yBqedlnq5g,Ananped,20,1,0.631578947368421,8400000
UCfoXuLwwvN--a_wrxY-17Mw,PANDA STORY,95,7,0.6428571428571428,2990000
UCUfYQo1mpmhGhKa3uTCHmlA,ONAMO ㅤ,63,5,0.6517241379310346,370000
UCM246zZ4qNNmFQ2WHnP_CRA,TheghostradioOfficial,191,19,0.658812729498164,7980000
UCXRv6SIuM0F-EKRKQ8o_WVQ,CGGG DETBUU,31,6,0.66,417000
UCkIfBfDe9YeSp6ZZVyhjC5Q,PUBG: BATTLEGROUNDS THAILAND,223,49,0.6795683790757682,348000
UCTmwLrdtL2FJQcHumh9A0kQ,Chicken V,58,8,0.6849999999999999,1170000
UCO6g8EVvSXk3lGQwAl9bbWw,Deed Channel / ดีด,11,1,0.7,113000
UCxDSMQ5wirfdo34--OQGwGw,bas za studio,18,6,0.7083333333333333,401000
UC5zGJZpxeZPFcds5gFcDE7Q,zbing z.,97,4,0.739247311827957,21700000
UCycKzia69PXRbk0N0I9n4Aw,LowGrade,95,8,0.7614942528735632,8250000
UCzyeq_iKmrFTBQ0kzNSqMtg,PojzPlaza,44,4,0.825,9560000
UCWX9dtRV_sK4TNTAl8yaPTA,Superjeew Official,204,14,0.8413533834586466,6500000
UCHY8WZTanXyF_e_NvNOiFKQ,Mighty Max,41,6,0.8476190476190476,112000
UCTI9KpYgxF-xi6ZcGphEodA,IRONBOY,49,5,0.8590909090909091,350000
UCkKeG3Vz6R0JZowsYE2hMHQ,Whattheduck,128,6,0.8620218579234973,4450000
UCvLTd9r06oLu9y79YfXrEqg,SUNFESOVERLOAD,44,1,0.8837209302325582,3140000
UCiob6zydUE_mnxOtoIACFtw,iuccc Darkside,11,2,0.8888888888888888,197000
UC8wNsgPDkZGTlY7ruuGLtzQ,Factnest,108,14,0.9012158054711247,451000
UCmK4GI9Dn9-uvQ8mZL4yfFQ,ZEAN FIFA,22,1,0.9047619047619048,381000
UC4ytWAm10LjaeS53LpQfJOA,Kutcha Wants2playz,52,6,0.9057971014492754,4480000
UCyZuvgP1t2vvZHgb8gsl3zw,LightFuryLF,76,3,0.9132420091324202,142000
UCvlU3aGSHCbUsr7jPuDfL7Q,AVA GAME,52,5,0.9276595744680851,1890000
UCK-JOh6HwRaA-0_g5NRQExg,MinORu,71,1,0.9285714285714286,508000
UC5EwFkO55ZaNxMwqQZhaVKg,KSSA,16,1,0.9333333333333333,25500
UC2eK4zRoDaFYXlWU8V2yyOw,Jubjang Ch.,67,3,0.9583333333333334,2010000
UCvE7UoDDYsX21WRR0lR3Z5g,TOR Torpedo,69,6,0.9603174603174602,5570000
UCigsRUvOKCw3SJbnS_XloGw,Thanks For Watching,100,2,0.9642857142857142,5510000
UC4plRabXFGdAE6HP-tBQKdQ,HEARTROCKER,33,1,0.96875,9610000
UC_4539IJwh006KEqK6pv5sg,jeft,20,1,1.0,111000
